nomor,kode,nama,kelompok,tipe,Air (Water),Energi (Energy),Protein (Protein),Lemak (Fat),Karbohidrat (CHO),Abu (ASH),Kalsium (Ca),Fosfor (P),Besi (Fe),Natrium (Na),Kalium (K),Tembaga (Cu),Seng (Zn),Riboflavin (Vit. B2),Niasin (Niacin),Serat (Fibre),Retinol (Vit. A),Beta-Karoten (Carotenes),Karoten Total (Re),Thiamin (Vit. B1),Vitamin C (Vit. C)
905,BP061,Sagu sinole,Umbi Berpati,Olahan (Processed),22.0 g,354 Kal,0.8 g,8.3 g,68.9 g,0.1 g,10 mg,30 mg,0.8 mg,30 mg,11.0 mg,0.20 mg,0.3 mg,,,,0 mcg,0 mcg,0 mcg,,0 mg
906,ER098,"Salak bali, segar (snake fruit, bali,fresh)",Buah,Mentah (Raw),85.1 g,57 Kal,0.5 g,0.1 g,13.6 g,0.7 g,94 mg,25 mg,2.1 mg,,,0.08 mg,0.2 mg,,,1.3 g,0 mcg,3 mcg,37 mcg,0.00 mg,0 mg
907,ER099,"Salak medan, segar (snake fruit, medan, fresh)",Buah,Mentah (Raw),78.1 g,55 Kal,0.4 g,0.2 g,12.8 g,8.5 g,6 mg,46 mg,0.5 mg,39 mg,113.0 mg,0.20 mg,0.3 mg,0.03 mg,,3.2 g,0 mcg,4 mcg,,0.04 mg,58 mg
908,ER100,"Salak pondoh, segar (snake fruit, pondoh, fresh)",Buah,Mentah (Raw),77.9 g,87 Kal,0.8 g,0.4 g,20.1 g,0.8 g,38 mg,31 mg,3.9 mg,,,0.08 mg,0.2 mg,0.12 mg,0.1 mg,0.0 g,0 mcg,,40 mcg,0.00 mg,8 mg
909,ER101,"Salak, segar (snake fruit, fresh)",Buah,Mentah (Raw),78.0 g,77 Kal,0.4 g,,20.9 g,0.7 g,28 mg,18 mg,4.2 mg,,,0.08 mg,0.2 mg,,,,,4 mcg,0 mcg,0.04 mg,2 mg
910,EP010,Sale kesemek,Buah,Olahan (Processed),25.0 g,296 Kal,1.1 g,0.6 g,71.4 g,1.8 g,,,,,,,,,,,,,,,3 mg
911,EP011,Sale pisang siam,Buah,Olahan (Processed),28.9 g,281 Kal,2.4 g,0.7 g,66.1 g,2.0 g,41 mg,64 mg,1.2 mg,,,,,,,1.0 g,,,272 mcg,0.10 mg,0 mg
912,EP012,"Sale pisang, cilacap",Buah,Olahan (Processed),27.1 g,295 Kal,2.3 g,2.1 g,66.9 g,1.7 g,47 mg,97 mg,2.8 mg,,,,,,,1.3 g,,,296 mcg,0.14 mg,
913,EP013,Sanggara belanda,Buah,Olahan (Processed),47.1 g,242 Kal,6.4 g,7.1 g,38.2 g,1.2 g,,,,,,,,,,,,,,,
914,KP003,Santan (dengan air) (Coconut milk mixed with water),Minyak/Lemak,Olahan (Processed),80.0 g,122 Kal,2.0 g,10.0 g,7.6 g,0.4 g,25 mg,30 mg,0.1 mg,9 mg,162.4 mg,0.16 mg,0.4 mg,0.00 mg,0.5 mg,1.4 g,0 mcg,,,0.02 mg,2 mg
915,KP004,"Santan murni (Coconut milk, pured)",Minyak/Lemak,Olahan (Processed),54.9 g,324 Kal,4.2 g,34.3 g,5.6 g,1.0 g,14 mg,45 mg,1.9 mg,18 mg,514.1 mg,0.37 mg,0.9 mg,0.00 mg,0.5 mg,0.0 g,0 mcg,0 mcg,,0.02 mg,2 mg
916,NP009,"Saos tomat (Tomato, sauce)",Bumbu,Olahan (Processed),69.5 g,110 Kal,2.0 g,0.4 g,24.5 g,3.6 g,12 mg,18 mg,0.8 mg,890 mg,129.6 mg,0.18 mg,0.3 mg,0.06 mg,1.7 mg,0.9 g,,357 mcg,570 mcg,0.09 mg,11 mg
917,FP011,"Sapi, abon",Daging,Olahan (Processed),7.1 g,212 Kal,18.0 g,10.6 g,59.3 g,4.7 g,150 mg,209 mg,12.3 mg,,,,,,,7.5 g,0 mcg,240 mcg,138 mcg,0.17 mg,0 mg
918,FP012,"Sapi, abon, asli",Daging,Olahan (Processed),24.8 g,358 Kal,14.6 g,16.1 g,38.6 g,5.8 g,165 mg,136 mg,14.6 mg,,,,,,,2.5 g,3 mcg,194 mcg,144 mcg,0.13 mg,0 mg
919,FR023,"Sapi, babat, segar (Tripe, fresh)",Daging,Mentah (Raw),76.7 g,108 Kal,17.6 g,4.2 g,0.0 g,1.5 g,12 mg,144 mg,1.0 mg,147 mg,101.4 mg,0.11 mg,2.2 mg,0.17 mg,1.7 mg,0.0 g,0 mcg,49 mcg,,0.15 mg,0 mg
920,FP013,"Sapi, daging, asap",Daging,Olahan (Processed),60.0 g,182 Kal,32.0 g,6.0 g,0.0 g,2.0 g,15 mg,300 mg,5.0 mg,"1,620 mg",485.4 mg,0.03 mg,5.1 mg,0.23 mg,5.9 mg,0.0 g,6 mcg,,,0.12 mg,0 mg
921,FP014,"Sapi, daging, dendeng, mentah",Daging,Olahan (Processed),25.0 g,301 Kal,55.0 g,9.0 g,0.0 g,11.0 g,30 mg,370 mg,5.1 mg,,,,,,,,0 mcg,,,0.10 mg,0 mg
922,FR024,"Sapi, daging, gemuk, segar (Beef, high fat, fresh)",Daging,Mentah (Raw),60.0 g,273 Kal,17.5 g,22.0 g,0.0 g,0.5 g,10 mg,150 mg,2.6 mg,93 mg,267.0 mg,0.17 mg,6.4 mg,0.18 mg,7.3 mg,0.0 g,12 mcg,0 mcg,,0.08 mg,0 mg
923,FP015,"Sapi, daging, kornet",Daging,Olahan (Processed),53.0 g,289 Kal,16.0 g,25.0 g,0.0 g,6.0 g,10 mg,170 mg,4.0 mg,794 mg,94.4 mg,0.07 mg,4.0 mg,0.16 mg,2.7 mg,0.0 g,0 mcg,52 mcg,,0.01 mg,0 mg
924,FR025,"Sapi, daging, kurus, segar (Beef, low fat, fresh)",Daging,Mentah (Raw),69.0 g,174 Kal,19.6 g,10.0 g,0.0 g,1.4 g,11 mg,181 mg,2.9 mg,83 mg,489.0 mg,0.07 mg,4.9 mg,0.51 mg,1.2 mg,0.0 g,6 mcg,181 mcg,,0.07 mg,0 mg
925,FR026,"Sapi, daging, lemak sedang, segar (Beef, medium fat, fresh)",Daging,Mentah (Raw),66.0 g,201 Kal,18.8 g,14.0 g,0.0 g,1.2 g,11 mg,170 mg,2.8 mg,105 mg,378.0 mg,4.58 mg,5.2 mg,0.56 mg,1.3 mg,0.0 g,9 mcg,198 mcg,,0.08 mg,0 mg
926,FP016,"Sapi, daging, sosis (Worst)",Daging,Olahan (Processed),37.6 g,448 Kal,14.5 g,42.3 g,2.3 g,3.3 g,28 mg,61 mg,1.1 mg,765 mg,284.5 mg,0.06 mg,1.7 mg,0.18 mg,4.9 mg,,0 mcg,,,0.10 mg,0 mg
927,FR027,"Sapi, daleman, segar (Offal, beef, fresh)",Daging,Mentah (Raw),70.1 g,183 Kal,12.0 g,14.4 g,1.4 g,2.1 g,43 mg,319 mg,1.8 mg,277 mg,160.0 mg,0.10 mg,0.8 mg,0.22 mg,8.4 mg,0.0 g,,104 mcg,,0.31 mg,
928,FR028,"Sapi, dideh/darah (Black puding (cow's blood), fresh)",Daging,Mentah (Raw),75.6 g,98 Kal,21.9 g,1.1 g,0.0 g,1.4 g,7 mg,24 mg,1.3 mg,150 mg,170.0 mg,,0.2 mg,0.03 mg,0.9 mg,0.0 g,15 mcg,214 mcg,,0.01 mg,0 mg
929,FR029,"Sapi, ginjal, segar (Kidney, beef, fresh)",Daging,Mentah (Raw),74.9 g,137 Kal,15.0 g,8.1 g,0.9 g,1.1 g,9 mg,221 mg,7.9 mg,200 mg,230.2 mg,,,1.22 mg,6.1 mg,0.0 g,348 mcg,583 mcg,,0.37 mg,13 mg
930,FP017,"Sapi, hati, sosis (liverworst)",Daging,Olahan (Processed),56.6 g,274 Kal,16.0 g,22.0 g,3.0 g,2.4 g,20 mg,150 mg,4.0 mg,654 mg,158.8 mg,0.22 mg,2.2 mg,0.96 mg,4.0 mg,2.3 g,"1,201 mcg",,,0.20 mg,0 mg
931,FR030,"Sapi, keleponan, segar (Tripe, beef, fresh)",Daging,Mentah (Raw),83.8 g,84 Kal,10.5 g,4.6 g,0.2 g,0.9 g,20 mg,13 mg,2.1 mg,73 mg,318.0 mg,0.20 mg,1.7 mg,0.14 mg,0.3 mg,0.0 g,857 mcg,34 mcg,,0.10 mg,
932,FR031,"Sapi, liver, segar (Liver, beef, fresh)",Daging,Mentah (Raw),69.7 g,132 Kal,19.7 g,3.2 g,6.0 g,1.4 g,7 mg,358 mg,6.6 mg,110 mg,213.0 mg,0.51 mg,2.3 mg,1.52 mg,11.4 mg,0.0 g,"13,303 mcg",355 mcg,,0.26 mg,31 mg
933,FR032,"Sapi, otak, segar (Brain, beef, fresh)",Daging,Mentah (Raw),78.9 g,123 Kal,10.4 g,8.6 g,0.8 g,1.3 g,16 mg,330 mg,3.6 mg,112 mg,243.8 mg,0.26 mg,0.9 mg,0.19 mg,3.9 mg,0.0 g,0 mcg,0 mcg,,0.23 mg,18 mg
934,FP018,"Sapi, paru, dendeng, mentah",Daging,Olahan (Processed),9.7 g,360 Kal,57.3 g,6.0 g,19.2 g,7.8 g,126 mg,903 mg,21.1 mg,"1,483 mg",864.0 mg,1.20 mg,6.1 mg,,,,"2,827 mcg",,,,
935,FP019,"Sapi, paru, goreng",Daging,Olahan (Processed),45.5 g,268 Kal,23.9 g,12.7 g,14.5 g,3.1 g,102 mg,315 mg,8.8 mg,923 mg,299.0 mg,0.00 mg,1.5 mg,,,,790 mcg,,,,
936,FR033,"Sapi, usus, segar",Daging,Mentah (Raw),76.7 g,126 Kal,14.0 g,7.2 g,1.5 g,0.6 g,14 mg,115 mg,4.0 mg,,,,,0.33 mg,0.2 mg,0.0 g,61 mcg,0 mcg,,0.08 mg,0 mg
937,GP049,Sardines dalam kaleng,Ikan/Kerang/Udang dll,Olahan (Processed),47.1 g,338 Kal,21.1 g,27.0 g,1.0 g,3.8 g,354 mg,434 mg,3.5 mg,,,,,,,0.0 g,76 mcg,0 mcg,,0.10 mg,0 mg
938,CP059,"Saridele, bubuk",Kacang-Kacangan,Olahan (Processed),3.0 g,344 Kal,30.0 g,20.0 g,43.0 g,4.0 g,450 mg,500 mg,4.0 mg,56 mg,"2,572.3 mg",2.99 mg,4.0 mg,0.16 mg,2.0 mg,6.2 g,,0 mcg,"2,000 mcg",0.70 mg,10 mg
939,AP105,Sarimuka,Serealia,Olahan (Processed),61.5 g,166 Kal,2.3 g,2.8 g,32.9 g,0.5 g,36 mg,13 mg,2.0 mg,3 mg,34.0 mg,0.00 mg,0.0 mg,,,,,,,,
940,GP090,Sate Bandeng,Ikan/Kerang/Udang dll,Olahan (Processed),47.1 g,283 Kal,12.1 g,16.8 g,20.9 g,3.1 g,118 mg,186 mg,1.2 mg,543 mg,199.0 mg,0.20 mg,0.9 mg,0.02 mg,0.0 mg,2.0 g,,2 mcg,0 mcg,0.02 mg,0 mg
941,FP065,"Sate pusut, masakan",Daging,Olahan (Processed),52.1 g,274 Kal,12.9 g,18.6 g,13.6 g,2.8 g,63 mg,190 mg,2.7 mg,609 mg,,,,,0.0 mg,,133 mcg,0 mcg,,0.06 mg,
942,FP064,"Sate, penyu, masakan",Daging,Olahan (Processed),57.4 g,179 Kal,22.5 g,3.5 g,13.3 g,3.3 g,187 mg,238 mg,14.4 mg,,,,0.0 mg,,0.0 mg,0.0 g,,0 mcg,,0.10 mg,
943,DR142,"Sawi putih / pecai, segar (Pak choi, fresh)",Sayuran,Mentah (Raw),96.6 g,9 Kal,1.0 g,0.1 g,1.7 g,0.6 g,56 mg,42 mg,1.1 mg,5 mg,193.1 mg,0.05 mg,0.1 mg,0.18 mg,0.4 mg,0.8 g,0 mcg,862 mcg,832 mcg,0.05 mg,3 mg
944,DR143,"Sawi taiwan, segar",Sayuran,Mentah (Raw),91.8 g,30 Kal,1.9 g,0.5 g,4.4 g,1.4 g,100 mg,58 mg,1.6 mg,27 mg,217.0 mg,0.10 mg,0.7 mg,0.10 mg,0.6 mg,2.7 g,,"1,340 mcg",,0.20 mg,33 mg
945,DR144,"Sawi tanah, segar",Sayuran,Mentah (Raw),94.9 g,19 Kal,1.3 g,0.2 g,2.9 g,1.0 g,92 mg,45 mg,1.2 mg,17 mg,145.0 mg,0.10 mg,0.4 mg,0.10 mg,0.1 mg,2.2 g,,815 mcg,,0.20 mg,36 mg
946,DR141,"Sawi, segar (Chinese mustard, fresh)",Sayuran,Mentah (Raw),92.2 g,28 Kal,2.3 g,0.3 g,4.0 g,1.2 g,220 mg,38 mg,2.9 mg,22 mg,436.5 mg,0.12 mg,0.2 mg,0.23 mg,0.7 mg,2.5 g,,"2,042 mcg","6,460 mcg",0.09 mg,102 mg
947,ER102,"Sawo duren, segar (Sapodilla, fresh)",Buah,Mentah (Raw),87.3 g,64 Kal,1.0 g,3.1 g,8.0 g,0.6 g,18 mg,45 mg,0.8 mg,13 mg,111.4 mg,0.02 mg,0.1 mg,0.02 mg,0.1 mg,0.8 g,0 mcg,0 mcg,0 mcg,0.01 mg,1 mg
948,ER103,"Sawo kecik, segar (Sapodilla, fresh)",Buah,Mentah (Raw),73.8 g,111 Kal,0.9 g,2.3 g,21.6 g,1.4 g,20 mg,185 mg,0.7 mg,28 mg,117.8 mg,0.04 mg,0.1 mg,0.04 mg,1.5 mg,1.0 g,0 mcg,119 mcg,12 mcg,0.00 mg,19 mg
949,ER104,"Sawo Manila, segar (Sapodilla, manila, fresh)",Buah,Mentah (Raw),75.5 g,92 Kal,0.5 g,1.1 g,22.4 g,0.5 g,25 mg,12 mg,1.0 mg,26 mg,110.2 mg,0.04 mg,0.1 mg,0.04 mg,1.4 mg,9.5 g,0 mcg,111 mcg,60 mcg,0.01 mg,21 mg
950,DP047,Sayur asem,Sayuran,Olahan (Processed),93.2 g,29 Kal,0.7 g,0.6 g,5.0 g,0.8 g,40 mg,61 mg,3.1 mg,,,,,,,0.6 g,14 mcg,,"2,075 mcg",0.10 mg,0 mg
951,DP048,Sayur bunga pepaya,Sayuran,Olahan (Processed),83.4 g,49 Kal,1.7 g,0.3 g,9.8 g,2.1 g,220 mg,220 mg,1.3 mg,90 mg,350.0 mg,0.10 mg,0.1 mg,0.10 mg,0.0 mg,2.7 g,,372 mcg,,,0 mg
952,DP049,Sayur garu,Sayuran,Olahan (Processed),70.8 g,178 Kal,2.6 g,13.9 g,10.6 g,2.1 g,30 mg,130 mg,0.9 mg,20 mg,120.0 mg,0.10 mg,0.3 mg,0.10 mg,,8.4 g,,,,0.20 mg,9 mg
953,DP050,Sayur kohu-kohu,Sayuran,Olahan (Processed),72.8 g,133 Kal,7.3 g,6.6 g,11.2 g,2.1 g,40 mg,120 mg,0.2 mg,20 mg,50.0 mg,0.10 mg,0.3 mg,0.20 mg,,1.2 g,,944 mcg,,0.20 mg,9 mg
954,CP058,Sayur lebui,Kacang-Kacangan,Olahan (Processed),83.9 g,64 Kal,2.1 g,0.6 g,12.5 g,0.9 g,21 mg,2 mg,1.0 mg,124 mg,146.0 mg,0.20 mg,0.7 mg,0.00 mg,0.1 mg,5.7 g,,14 mcg,,,
955,DP051,Sayur lilin-terubuk,Sayuran,Olahan (Processed),90.4 g,36 Kal,2.7 g,0.7 g,4.8 g,1.4 g,10 mg,90 mg,0.1 mg,30 mg,44.0 mg,0.20 mg,1.0 mg,0.20 mg,,1.4 g,,,,0.30 mg,18 mg
956,DP052,Sayur ndusuk,Sayuran,Olahan (Processed),87.5 g,49 Kal,3.1 g,2.5 g,3.6 g,3.1 g,11 mg,6 mg,0.5 mg,"1,011 mg",88.0 mg,,0.2 mg,0.10 mg,,,,,,0.20 mg,15 mg
957,DP053,Sayur sop,Sayuran,Olahan (Processed),92.7 g,27 Kal,1.3 g,2.0 g,1.0 g,2.7 g,168 mg,57 mg,1.8 mg,,,,,,,0.3 g,20 mcg,,"2,569 mcg",0.10 mg,0 mg
958,DP054,Sayur umbut kelapa,Sayuran,Olahan (Processed),85.5 g,67 Kal,5.2 g,2.9 g,5.1 g,1.3 g,48 mg,81 mg,3.2 mg,313 mg,108.0 mg,0.20 mg,1.1 mg,,,1.4 g,,21 mcg,,0.20 mg,5 mg
959,DP055,Sayur umbut rotan,Sayuran,Olahan (Processed),87.6 g,57 Kal,5.4 g,2.6 g,3.1 g,1.3 g,184 mg,135 mg,1.2 mg,256 mg,81.0 mg,0.20 mg,0.9 mg,,,1.6 g,,18 mcg,0 mcg,0.20 mg,6 mg
960,DR146,"Selada air, segar (Watercress, fresh)",Sayuran,Mentah (Raw),93.3 g,17 Kal,3.1 g,0.2 g,2.2 g,1.2 g,95 mg,152 mg,2.4 mg,65 mg,260.7 mg,0.11 mg,0.2 mg,0.14 mg,0.7 mg,0.7 g,0 mcg,"1,230 mcg","3,727 mcg",0.09 mg,56 mg
961,DP016,"Selada, rebus",Sayuran,Olahan (Processed),93.5 g,19 Kal,2.7 g,0.2 g,2.9 g,0.7 g,83 mg,74 mg,1.4 mg,24 mg,160.7 mg,0.05 mg,0.2 mg,0.20 mg,0.6 mg,0.7 g,,"2,499 mcg","3,700 mcg",0.08 mg,27 mg
962,DR145,"Selada, segar (Lettuce)",Sayuran,Mentah (Raw),94.8 g,18 Kal,1.2 g,0.2 g,2.9 g,0.9 g,22 mg,25 mg,0.5 mg,19 mg,186.4 mg,0.03 mg,0.2 mg,0.13 mg,0.4 mg,1.8 g,,"1,526 mcg",540 mcg,0.04 mg,8 mg
963,DR147,"Seledri, segar (Celery, fresh)",Sayuran,Mentah (Raw),93.0 g,23 Kal,1.0 g,0.1 g,4.6 g,1.3 g,50 mg,40 mg,1.0 mg,64 mg,258.8 mg,0.08 mg,0.4 mg,0.07 mg,0.4 mg,2.0 g,,63 mcg,130 mcg,0.03 mg,11 mg
964,ER105,"Semangka, segar (Water melon, fresh)",Buah,Mentah (Raw),92.1 g,28 Kal,0.5 g,0.2 g,6.9 g,0.3 g,7 mg,12 mg,0.2 mg,7 mg,93.8 mg,0.04 mg,0.1 mg,0.05 mg,0.3 mg,0.4 g,,315 mcg,590 mcg,0.05 mg,6 mg
965,DP057,Semur jengkol,Sayuran,Olahan (Processed),52.7 g,212 Kal,6.0 g,10.0 g,29.1 g,2.2 g,77 mg,99 mg,1.0 mg,,,,,,,,,,81 mcg,0.14 mg,4 mg
966,BR023,"Sente, talas, segar (Giant taro, fresh)",Umbi Berpati,Mentah (Raw),14.0 g,353 Kal,0.7 g,0.2 g,84.7 g,0.4 g,11 mg,13 mg,1.5 mg,30 mg,694.6 mg,0.60 mg,2.2 mg,0.20 mg,2.8 mg,6.6 g,,41 mcg,,0.05 mg,5 mg
967,GP091,"Sepi, masakan",Ikan/Kerang/Udang dll,Olahan (Processed),66.1 g,88 Kal,7.9 g,1.6 g,10.6 g,13.8 g,924 mg,350 mg,2.3 mg,873 mg,258.0 mg,1.00 mg,1.1 mg,,,,783 mcg,,,,
968,BP062,Serimping talas kebumen,Umbi Berpati,Olahan (Processed),4.8 g,478 Kal,2.5 g,21.2 g,69.2 g,2.3 g,112 mg,118 mg,2.3 mg,,,,,,,1.7 g,0 mcg,,0 mcg,0.25 mg,0 mg
969,DP056,Shabu-shabu,Sayuran,Olahan (Processed),87.1 g,88 Kal,3.2 g,8.0 g,0.8 g,0.9 g,217 mg,48 mg,2.9 mg,514 mg,,,,,,0.9 g,82 mcg,,"2,000 mcg",0.20 mg,0 mg
970,FP067,"Sie reuboh, masakan",Daging,Olahan (Processed),32.4 g,474 Kal,11.2 g,42.5 g,11.7 g,2.2 g,26 mg,62 mg,1.3 mg,677 mg,176.0 mg,2.40 mg,3.2 mg,0.26 mg,,,141 mcg,9 mcg,,0.46 mg,
971,ER106,"Sirsak, segar (Soursop, fresh)",Buah,Mentah (Raw),81.7 g,65 Kal,1.0 g,0.3 g,16.3 g,0.7 g,14 mg,27 mg,0.6 mg,2 mg,298.9 mg,0.08 mg,1.0 mg,0.08 mg,0.7 mg,3.2 g,,8 mcg,10 mcg,0.07 mg,20 mg
972,MP014,Sirup (syrup),Konfeksioneri,Olahan (Processed),44.0 g,213 Kal,0.0 g,0.0 g,55.0 g,1.0 g,0 mg,0 mg,0.0 mg,3 mg,4.2 mg,,,0.00 mg,0.0 mg,0.0 g,,0 mcg,,0.00 mg,
973,MP015,"Sirup pirous (syrup, pirous)",Konfeksioneri,Olahan (Processed),43.3 g,228 Kal,0.2 g,0.4 g,55.9 g,0.2 g,470 mg,93 mg,29.5 mg,3 mg,4.2 mg,,,0.00 mg,0.0 mg,0.0 g,,0 mcg,0 mcg,0.00 mg,8 mg
974,FP068,"Sop buntut, masakan",Daging,Olahan (Processed),86.1 g,71 Kal,7.5 g,3.6 g,2.2 g,0.6 g,286 mg,38 mg,3.2 mg,490 mg,,,,,,,119 mcg,,"2,900 mcg",0.14 mg,0 mg
975,FP069,"Sop daging sapi, masakan",Daging,Olahan (Processed),87.5 g,49 Kal,5.8 g,0.5 g,5.3 g,0.9 g,158 mg,48 mg,2.2 mg,391 mg,,,,,,,101 mcg,,"3,320 mcg",0.37 mg,0 mg
976,FP070,"Sop kaki sapi, masakan",Daging,Olahan (Processed),84.5 g,68 Kal,9.0 g,1.9 g,3.7 g,0.9 g,302 mg,15 mg,2.2 mg,435 mg,,,,,,,48 mcg,,150 mcg,0.46 mg,0 mg
977,FP071,"Sop kambing, masakan",Daging,Olahan (Processed),91.6 g,34 Kal,5.5 g,0.8 g,1.1 g,1.0 g,145 mg,37 mg,1.6 mg,348 mg,,,,,,,48 mcg,,80 mcg,0.57 mg,0 mg
978,FP072,"Sop konro, masakan",Daging,Olahan (Processed),85.0 g,71 Kal,7.4 g,2.6 g,4.5 g,0.5 g,17 mg,60 mg,4.6 mg,184 mg,25.0 mg,0.30 mg,1.3 mg,0.02 mg,10.9 mg,,,,,0.12 mg,0 mg
979,FP073,"Sop saudara, masakan",Daging,Olahan (Processed),82.4 g,89 Kal,7.2 g,5.0 g,3.9 g,1.5 g,10 mg,174 mg,9.0 mg,274 mg,50.0 mg,0.20 mg,1.1 mg,0.12 mg,2.0 mg,,,,,0.09 mg,0 mg
980,FP074,"Soto bandung, masakan",Daging,Olahan (Processed),89.9 g,42 Kal,3.9 g,1.7 g,2.8 g,1.8 g,74 mg,75 mg,1.8 mg,,,,,,0.0 mg,0.4 g,6 mcg,20 mcg,0 mcg,,0 mg
981,FP075,"Soto banjar, masakan",Daging,Olahan (Processed),83.7 g,110 Kal,2.9 g,9.5 g,3.2 g,0.7 g,28 mg,28 mg,0.3 mg,36 mg,6.0 mg,0.00 mg,0.2 mg,,,,12 mcg,,770 mcg,0.05 mg,0 mg
982,FP076,"Soto betawi, masakan",Daging,Olahan (Processed),75.9 g,135 Kal,2.5 g,8.8 g,11.5 g,1.3 g,222 mg,72 mg,1.9 mg,,,,,,0.0 mg,0.5 g,6 mcg,,336 mcg,0.04 mg,0 mg
983,FP077,"Soto jeroan, masakan",Daging,Olahan (Processed),81.4 g,92 Kal,11.8 g,4.3 g,1.4 g,1.1 g,218 mg,48 mg,1.9 mg,363 mg,,,,,,,85 mcg,,440 mcg,0.36 mg,0 mg
984,FP078,"Soto kudus, masakan",Daging,Olahan (Processed),91.6 g,38 Kal,2.6 g,2.3 g,1.8 g,1.7 g,237 mg,67 mg,1.7 mg,,,,,,0.5 mg,0.2 g,23 mcg,,128 mcg,0.06 mg,0 mg
985,FP079,"Soto madura, masakan",Daging,Olahan (Processed),89.8 g,60 Kal,3.5 g,4.5 g,1.3 g,0.9 g,361 mg,126 mg,3.8 mg,,,,,,0.0 mg,0.0 g,26 mcg,,121 mcg,0.06 mg,0 mg
986,FP080,"Soto padang, masakan",Daging,Olahan (Processed),75.0 g,127 Kal,5.9 g,6.6 g,11.0 g,2.0 g,298 mg,94 mg,1.5 mg,,,,,,0.0 mg,0.7 g,12 mcg,,204 mcg,0.22 mg,0 mg
987,FP081,"Soto pekalongan, masakan",Daging,Olahan (Processed),83.8 g,94 Kal,3.0 g,6.8 g,5.1 g,1.3 g,322 mg,79 mg,2.0 mg,,,,,,0.0 mg,0.3 g,14 mcg,,119 mcg,0.29 mg,0 mg
988,FP082,"Soto pemalang, masakan",Daging,Olahan (Processed),86.0 g,75 Kal,3.6 g,5.2 g,3.5 g,1.7 g,170 mg,80 mg,2.1 mg,,,,,,0.0 mg,0.0 g,16 mcg,,30 mcg,0.13 mg,0 mg
989,FP083,"Soto sukaraja, masakan",Daging,Olahan (Processed),75.9 g,80 Kal,3.2 g,3.5 g,9.0 g,1.1 g,347 mg,77 mg,2.3 mg,,,,,,0.0 mg,0.3 g,12 mcg,,89 mcg,0.04 mg,0 mg
990,FP084,"Soto sulung, masakan",Daging,Olahan (Processed),88.1 g,86 Kal,2.3 g,8.5 g,0.0 g,1.1 g,200 mg,120 mg,2.9 mg,,,,,,0.0 mg,0.0 g,20 mcg,,105 mcg,0.08 mg,0 mg
991,ER107,"Sowa, segar",Buah,Mentah (Raw),87.7 g,48 Kal,1.6 g,0.6 g,9.1 g,10.0 g,50 mg,40 mg,0.3 mg,9 mg,0.0 mg,0.10 mg,1.5 mg,0.23 mg,0.2 mg,45.0 g,0 mcg,364 mcg,,0.15 mg,4 mg
992,AP106,Spaghetti,Serealia,Olahan (Processed),66.1 g,139 Kal,7.4 g,2.1 g,22.6 g,2.1 g,109 mg,53 mg,4.7 mg,,,,,,,,42 mcg,,940 mcg,0.35 mg,0 mg
993,AP107,Srikaya ketan,Serealia,Olahan (Processed),41.0 g,265 Kal,2.7 g,6.4 g,49.1 g,0.8 g,,,,,,,,,,,,,,,
994,ER108,"Srikaya, segar (Sugar apple,fresh)",Buah,Mentah (Raw),83.4 g,63 Kal,1.1 g,0.5 g,13.9 g,1.1 g,127 mg,30 mg,2.7 mg,,,,,,,2.1 g,0 mcg,,31 mcg,0.08 mg,28 mg
995,FP085,"Sukiyaki, masakan",Daging,Olahan (Processed),81.0 g,75 Kal,5.6 g,0.4 g,12.2 g,0.8 g,109 mg,59 mg,0.5 mg,426 mg,,,,,,0.2 g,41 mcg,,"1,200 mcg",0.37 mg,0 mg
996,ER109,"Sukun muda, segar (Breadfruit, young, fresh)",Buah,Mentah (Raw),69.4 g,119 Kal,1.4 g,0.2 g,28.1 g,1.0 g,24 mg,44 mg,1.4 mg,24 mg,414.4 mg,0.09 mg,0.1 mg,0.17 mg,3.7 mg,1.4 g,,28 mcg,"4,896 mcg",0.17 mg,52 mg
997,ER110,"Sukun tua, segar (Breadfruit, fresh)",Buah,Mentah (Raw),67.8 g,126 Kal,1.6 g,0.2 g,24.5 g,1.0 g,37 mg,47 mg,1.6 mg,25 mg,436.0 mg,0.09 mg,0.1 mg,0.17 mg,3.9 mg,1.5 g,,30 mcg,"2,000 mcg",0.18 mg,58 mg
998,AP108,Sunduk lawang,Serealia,Olahan (Processed),63.4 g,181 Kal,1.9 g,1.3 g,32.4 g,1.0 g,,,,,,,,,,,,,,,
999,JP005,"Susu asam untuk bayi, bubuk",Susu,Olahan (Processed),2.5 g,418 Kal,19.0 g,9.0 g,65.5 g,4.0 g,800 mg,600 mg,7.0 mg,188 mg,486.5 mg,0.00 mg,0.0 mg,1.31 mg,0.7 mg,0.0 g,303 mcg,83 mcg,,1.00 mg,30 mg
1000,JP006,Susu bubuk,Susu,Olahan (Processed),3.5 g,513 Kal,24.6 g,30.0 g,36.2 g,5.7 g,904 mg,694 mg,0.6 mg,380 mg,"1,330.0 mg",0.02 mg,4.1 mg,1.39 mg,1.6 mg,0.0 g,476 mcg,118 mcg,,0.29 mg,6 mg
